"Reference","Feed name","DM","ADF","NDF","ADL","CP","OM","P","Ca","Na","Fe","K","Mg","Cu","Mn","Zn","IVDMD","ME","NEm","NEg","NEl","Country"
"111517","Enset roots","91.19","22.32","36.78","3.34","4.31","91.81","","","","","","","","","","59.21","8.63","","","","Ethiopia"
"111518","Enset stem","91.41","24.27","41.21","4.34","3.13","90.56","","","","","","","","","","52.89","7.64","","","","Ethiopia"
"105062","Sweet potato","90.30","51.42","49.67","12.10","19.03","80.97","","","","","","","","","","43.21","6.01","","","","Ethiopia"
"105064","Sweet potato","92.24","35.65","43.34","9.92","14.48","88.20","","","","","","","","","","52.89","7.47","","","","Ethiopia"
"104962","Enset","93.25","46.00","52.30","8.53","9.77","83.96","","","","","","","","","","44.32","6.10","","","","Ethiopia"
"104968","Enset","93.49","45.19","51.88","8.15","9.02","82.51","","","","","","","","","","43.12","5.87","","","","Ethiopia"
"103831","Banana leaves","94.23","43.65","69.57","5.96","7.07","","","","","","","","","","","48.23","6.62","","","","Tanzania"
"103850","Banana leaves","94.07","38.64","49.31","10.88","13.79","","","","","","","","","","","49.79","6.69","","","","Tanzania"
"103893","Banana leaves","93.47","42.65","59.44","10.38","9.02","","","","","","","","","","","49.54","6.98","","","","Tanzania"
"103584","Banana","94.30","34.37","42.41","10.33","8.47","","","","","","","","","","","48.82","6.54","","","","Tanzania"
"103585","Banana pseudostem","92.63","23.85","33.46","4.93","6.89","","","","","","","","","","","54.76","7.41","","","","Tanzania"
"103601","Banana pseudostem","91.68","13.93","22.70","3.07","8.09","","","","","","","","","","","49.59","7.15","","","","Tanzania"
"103629","Banana pseudostem","93.22","34.37","43.91","4.90","6.75","","","","","","","","","","","55.95","7.64","","","","Tanzania"
"103630","Banana","93.80","34.95","51.03","6.44","7.47","","","","","","","","","","","50.03","6.91","","","","Tanzania"
"103471","Banana","93.01","34.74","48.56","5.92","6.36","","","","","","","","","","","49.78","6.90","","","","Tanzania"
"103483","Arrowroot","93.02","27.13","31.30","7.20","7.25","","","","","","","","","","","57.55","7.89","","","","Tanzania"
"103486","Banana fruit","94.35","37.15","60.92","6.77","9.54","","","","","","","","","","","49.64","6.55","","","","Tanzania"
"103502","Banana leaves","94.37","35.47","48.45","8.71","8.12","","","","","","","","","","","51.58","6.88","","","","Tanzania"
"103512","Banana","93.86","36.92","51.12","6.63","9.57","","","","","","","","","","","51.99","7.05","","","","Tanzania"
"103513","Arrowroot","94.00","39.58","54.43","8.60","9.20","","","","","","","","","","","49.23","6.73","","","","Tanzania"
"103544","Banana leaves","94.22","39.56","56.88","9.98","8.34","","","","","","","","","","","43.89","6.09","","","","Tanzania"
"103550","Banana leaves","93.51","35.83","51.00","7.64","7.47","","","","","","","","","","","50.96","7.09","","","","Tanzania"
"103396","Banana","91.46","20.07","29.31","5.75","6.28","","","","","","","","","","","55.66","8.18","","","","Tanzania"
"103397","Arrowroot","92.99","23.99","33.09","7.59","7.97","","","","","","","","","","","54.58","7.44","","","","Tanzania"
"103419","Arrowroot","93.90","38.81","51.05","8.10","12.90","","","","","","","","","","","52.40","6.80","","","","Tanzania"
"103425","Banana leaves","94.27","36.65","49.20","7.98","7.48","","","","","","","","","","","50.16","6.74","","","","Tanzania"
"103426","Banana leaves","94.37","37.74","50.36","9.37","10.26","","","","","","","","","","","48.60","6.63","","","","Tanzania"
"103460","Banana fruit","93.12","25.72","46.45","7.07","11.46","","","","","","","","","","","51.97","7.18","","","","Tanzania"
"103462","Banana","92.94","30.74","41.28","4.38","6.09","","","","","","","","","","","50.56","7.00","","","","Tanzania"
"103329","Banana leaves","94.05","42.56","56.88","10.05","8.19","","","","","","","","","","","46.43","6.32","","","","Tanzania"
"102299","Enset leaf","93.80","34.40","40.18","7.62","13.02","","","","","","","","","","","56.97","7.68","","","","Ethiopia"
"102300","Enset leaf","93.81","32.83","38.37","8.16","12.80","","","","","","","","","","","56.73","7.62","","","","Ethiopia"
"102301","Enset leaf","92.28","39.59","54.69","7.38","4.83","","","","","","","","","","","48.79","7.13","","","","Ethiopia"
"102323","Banana leaf","94.09","40.63","46.58","9.24","7.86","","","","","","","","","","","51.08","7.21","","","","Ethiopia"
"102324","Banana leaf","94.08","39.12","47.29","8.48","8.62","","","","","","","","","","","53.29","7.50","","","","Ethiopia"
"102325","Banana leaf","93.95","39.66","49.30","9.34","7.59","","","","","","","","","","","51.92","7.34","","","","Ethiopia"
"102338","Banana pseudostem","92.39","39.97","54.35","6.81","5.24","","","","","","","","","","","49.78","7.26","","","","Ethiopia"
"102339","Banana pseudostem","93.89","34.14","40.50","6.48","12.56","","","","","","","","","","","57.41","7.81","","","","Ethiopia"
"102340","Banana pseudostem","92.27","36.77","52.67","7.35","4.94","","","","","","","","","","","48.36","7.04","","","","Ethiopia"
"102341","Enset pseudostem","90.77","14.35","33.35","0.28","3.09","","","","","","","","","","","56.69","8.54","","","","Ethiopia"
"102342","Enset pseudostem","90.84","14.74","33.34","0.94","3.91","","","","","","","","","","","55.90","8.35","","","","Ethiopia"
"102343","Enset pseudostem","91.06","17.61","36.19","1.32","3.55","","","","","","","","","","","54.87","8.18","","","","Ethiopia"
"101958","Banana leaf","93.79","38.20","49.34","8.35","6.87","","","","","","","","","","","51.88","7.19","","","","Ethiopia"
"101959","Enset leaf","93.29","38.21","49.78","7.94","10.70","","","","","","","","","","","54.93","7.60","","","","Ethiopia"
"102217","Enset leaf","94.01","31.85","45.75","5.65","16.40","","","","","","","","","","","59.75","8.00","","","","Ethiopia"
"102218","Enset leaf","94.07","28.71","39.73","5.32","17.19","","","","","","","","","","","60.05","8.05","","","","Ethiopia"
"102219","Enset leaf","93.84","32.37","46.35","5.05","15.16","","","","","","","","","","","59.87","8.11","","","","Ethiopia"
"102220","Enset pseudostem","91.03","16.85","34.83","2.74","4.10","","","","","","","","","","","51.84","7.64","","","","Ethiopia"
"102221","Enset pseudostem","90.90","16.55","34.65","1.86","4.31","","","","","","","","","","","52.22","7.78","","","","Ethiopia"
"102222","Enset pseudostem","91.05","16.90","33.60","2.76","4.73","","","","","","","","","","","51.69","7.56","","","","Ethiopia"
"102223","Banana leaf","94.14","33.92","41.70","8.54","16.89","","","","","","","","","","","52.47","7.06","","","","Ethiopia"
"102224","Banana leaf","94.27","33.25","39.19","8.61","13.30","","","","","","","","","","","53.39","7.12","","","","Ethiopia"
"102225","Banana leaf","94.24","33.16","39.65","8.46","13.21","","","","","","","","","","","53.70","7.14","","","","Ethiopia"
"102226","Banana pseudostem","91.51","24.96","42.57","3.24","3.60","","","","","","","","","","","49.39","7.28","","","","Ethiopia"
"102227","Banana pseudostem","91.61","26.56","43.88","3.47","3.62","","","","","","","","","","","49.67","7.30","","","","Ethiopia"
"102228","Banana pseudostem","91.47","23.68","41.75","3.00","3.51","","","","","","","","","","","49.65","7.35","","","","Ethiopia"
"101951","Banana pseudostem","92.04","27.92","45.70","4.48","2.77","","","","","","","","","","","53.15","7.58","","","","Ethiopia"
"101952","Enset pseudostem","92.37","37.07","53.37","6.49","5.56","","","","","","","","","","","50.30","7.13","","","","Ethiopia"
"91444","Cassava leaves","95.00","37.11","51.29","7.78","","","","","","","","","","","","59.04","8.52","","","",""
"87786","Cassava tuber","91.05","25.93","39.95","12.09","4.80","","","","","","","","","","","57.29","8.26","","","",""
"87787","Cassava tuber","91.34","22.49","52.55","11.19","4.47","","","","","","","","","","","59.12","8.58","","","",""
