id,category_id,name_de,name_en,name_es,dry_matter,me_mj_per_kg,cp_pct,fiber_pct,calcium_pct,phosphorus_pct,cost_per_kg,availability,max_usage_pct
heno_pradera,forrajes_secos,Wiesenheu,Meadow Hay,Heno de Pradera,85,8.5,8.0,55,0.45,0.25,0.15,year_round,30
heno_alfalfa_premium,forrajes_secos,Premium Luzerneheu,Premium Alfalfa Hay,Heno de Alfalfa Premium,88,9.5,18.0,42,1.35,0.24,0.24,year_round,25
paja_trigo,forrajes_secos,Weizenstroh,Wheat Straw,Paja de Trigo,86,6.2,3.5,75,0.18,0.08,0.05,seasonal,10
ensilado_maiz,ensilados,Maissilage,Corn Silage,Ensilado de Maíz,35,10.8,8.0,45,0.25,0.22,0.08,year_round,65
ensilado_sorgo,ensilados,Sorghumsilage,Sorghum Silage,Ensilado de Sorgo,32,10.2,7.5,50,0.28,0.25,0.07,seasonal,50
maiz_grano,alimentos_energeticos,Maiskorn,Corn Grain,Maíz Grano,88,13.2,8.5,12,0.03,0.28,0.28,year_round,70
cebada,alimentos_energeticos,Gerste,Barley,Cebada,89,11.8,12.0,20,0.07,0.34,0.25,seasonal,50
sorgo_grano,alimentos_energeticos,Sorghum,Sorghum Grain,Sorgo Grano,88,10.6,10.0,16,0.04,0.32,0.24,seasonal,55
trigo,alimentos_energeticos,Weizen,Wheat,Trigo,87,12.8,12.5,11,0.05,0.35,0.30,seasonal,40
melaza,alimentos_energeticos,Melasse,Molasses,Melaza,75,8.7,4.3,0,0.89,0.05,0.19,year_round,5
aceite_soya,alimentos_energeticos,Sojaöl,Soybean Oil,Aceite de Soya,99,37.0,0.0,0,0.0,0.0,1.20,year_round,3
harina_soya,suplementos_proteicos,Sojaschrot,Soybean Meal,Harina de Soya,90,11.0,45.0,15,0.24,0.84,0.45,year_round,25
harina_canola,suplementos_proteicos,Rapsschrot,Canola Meal,Harina de Canola,88,9.5,38.0,20,0.65,1.15,0.38,year_round,20
harina_girasol,suplementos_proteicos,Sonnenblumenschrot,Sunflower Meal,Harina de Girasol,89,8.0,32.0,30,0.38,0.93,0.35,seasonal,20
gluten_maiz,suplementos_proteicos,Maiskleber,Corn Gluten Meal,Gluten de Maíz,90,12.5,60.0,10,0.05,0.40,0.55,year_round,15
urea,suplementos_proteicos,Harnstoff,Urea,Urea,99,0.0,287.0,0,0.0,0.0,0.80,year_round,1
pulpa_remolacha,subproductos_fibro_energeticos,Zuckerrübenschnitzel,Sugar Beet Pulp,Pulpa de Remolacha,90,10.8,9.5,42,0.65,0.08,0.18,year_round,30
cascarilla_soya,subproductos_fibro_energeticos,Sojahülsen,Soybean Hulls,Cascarilla de Soya,90,8.2,12.0,60,0.50,0.15,0.15,year_round,35
salvado_trigo,subproductos_fibro_energeticos,Weizenkleie,Wheat Bran,Salvado de Trigo,88,9.5,15.5,40,0.12,1.20,0.22,year_round,20
bagazo_cerveza,subproductos_fibro_energeticos,Biertreber (frisch),Brewers Grains (Wet),Bagazo de Cerveza,25,9.8,24.0,48,0.30,0.50,0.10,year_round,20
pulpa_citricos,subproductos_fibro_energeticos,Zitrustrester,Citrus Pulp,Pulpa de Cítricos,88,11.2,7.0,30,1.80,0.12,0.16,seasonal,25
carbonato_calcio,minerales,Calciumcarbonat,Calcium Carbonate,Carbonato de Calcio,99,0.0,0.0,0,40.0,0.0,0.25,year_round,2
fosfato_dicalcico,minerales,Dicalciumphosphat,Dicalcium Phosphate,Fosfato Dicálcico,99,0.0,0.0,0,23.0,18.0,0.85,year_round,1.5
sal_comun,minerales,Kochsalz (NaCl),Common Salt (NaCl),Sal Común (NaCl),99,0.0,0.0,0,0.0,0.0,0.15,year_round,1
premix_vitam_mineral,premix,Vitamin-Mineral-Premix,Vitamin-Mineral Premix,Premix Vitam-Mineral,95,0.0,0.0,0,8.0,4.0,2.50,year_round,0.5
heno_pellets_alfalfa,forrajes_secos,Luzernepellets,Alfalfa Pellets,Pellets de Alfalfa,90,9.8,17.0,40,1.30,0.24,0.26,year_round,25
ensilado_alfalfa,ensilados,Luzernesilage,Alfalfa Silage,Ensilado de Alfalfa,35,9.5,16.0,45,1.10,0.25,0.11,year_round,40
maiz_rollado,alimentos_energeticos,Gewalzter Mais,Rolled Corn,Maíz ROL (Rolado),88,13.4,8.5,11,0.03,0.28,0.30,year_round,70
sebo_bovino,alimentos_energeticos,Rindertalg,Beef Tallow,Sebo Bovino,99,33.0,0.0,0,0.0,0.0,0.95,year_round,3
ddgs_maiz,suplementos_proteicos,Mais DDGS,Corn DDGS,DDGS de Maíz,90,13.0,30.0,28,0.20,0.85,0.32,year_round,25
semilla_algodon_entera,suplementos_proteicos,Ganze Baumwollsaat,Whole Cottonseed,Semilla de Algodón Entera,92,12.5,23.0,32,0.15,0.65,0.40,seasonal,20
harina_sangre,suplementos_proteicos,Blutmehl,Blood Meal,Harina de Sangre,92,12.0,88.0,1,0.30,0.30,1.10,year_round,5
harina_pluma,suplementos_proteicos,Hydrolisiertes Federmehl,Hydrolyzed Feather Meal,Harina de Pluma Hidrolizada,92,10.5,80.0,1,0.25,0.55,0.90,year_round,5
afrechillo_arroz,subproductos_fibro_energeticos,Reiskleie,Rice Bran,Afrechillo de Arroz,90,11.5,14.0,20,0.07,1.50,0.26,year_round,25
cascarilla_arroz,subproductos_fibro_energeticos,Reisschalen,Rice Hulls,Cascarilla de Arroz,90,5.0,3.0,75,0.10,0.10,0.05,year_round,10
