"Feed name","Reference","DM","ADF","NDF","ADL","CP","OM","P","Ca","Na","Fe","K","Mg","Cu","Mn","Zn","IVDMD","ME","NEm","NEg","NEl","Country"
"Cytisus pulvinatus","115602","90.50","","","","13.38","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115603","90.55","","","","13.63","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115604","90.47","","","","14.38","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115605","90.37","","","","13.00","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115406","92.62","","59.05","","24.19","89.88","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115407","92.74","","60.23","","22.56","89.60","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115408","92.93","","57.54","","19.81","88.48","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115409","93.33","","61.13","","22.06","89.41","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115410","93.03","","58.12","","24.69","89.38","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115411","93.53","","56.07","","21.06","89.68","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115412","92.38","","52.73","","24.19","89.41","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115413","92.92","","57.97","","22.38","89.70","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115414","92.30","","54.07","","24.25","89.64","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115415","92.70","","50.63","","24.13","88.53","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115416","92.52","","61.17","","23.81","89.42","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115417","92.40","","57.13","","22.06","89.15","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115418","92.45","","57.48","","20.13","89.49","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115419","92.37","","56.84","","21.13","89.67","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115420","92.41","","56.15","","20.06","89.04","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115421","92.72","","57.81","","23.31","88.37","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115422","92.73","","57.01","","20.00","89.32","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115423","92.64","","58.56","","19.44","89.83","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115424","92.69","","57.62","","24.69","88.31","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115425","92.31","","57.98","","23.06","89.78","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115426","92.63","","56.54","","23.75","89.52","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115427","92.41","","60.26","","17.75","89.99","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115428","92.78","","53.96","","20.06","89.66","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115429","92.50","","51.86","","24.56","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115430","92.50","","53.64","","19.50","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115431","92.38","","53.92","","20.25","88.25","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115432","92.12","","62.61","","13.88","84.39","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115433","92.66","","60.50","","12.38","83.17","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115434","91.74","","61.01","","13.56","84.85","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115435","92.18","","60.72","","13.44","84.51","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115436","91.78","","62.55","","12.38","83.00","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115437","91.78","","62.91","","13.19","83.99","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115438","91.67","","62.72","","13.25","84.47","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115439","92.24","","62.90","","12.19","84.86","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115440","92.07","","58.25","","14.50","81.88","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115441","92.07","","61.33","","12.06","84.43","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115442","91.95","","60.65","","12.56","82.81","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115443","92.16","","59.62","","15.19","84.30","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115444","91.97","","60.76","","12.69","81.99","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115445","91.66","","62.30","","12.69","84.48","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115446","91.75","","","","14.75","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115447","92.54","","","","13.13","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115448","90.62","","","","12.81","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115449","91.30","","","","14.25","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115450","91.01","","","","13.75","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115451","90.02","","","","15.38","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115452","91.78","","","","14.81","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115453","91.04","","","","14.69","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115454","92.60","","","","15.56","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115455","91.65","","","","16.25","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115456","91.78","","","","16.88","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115457","91.92","","","","12.94","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115458","92.43","","","","14.63","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115459","92.28","","","","14.19","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115460","92.18","","","","14.06","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115461","91.94","","","","15.44","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115462","91.32","","","","14.88","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115463","91.34","","","","13.75","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115464","91.37","","","","12.94","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115465","91.37","","","","12.88","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115466","91.35","","","","10.69","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115467","91.77","","","","11.13","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115468","91.38","","","","12.63","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115469","92.65","","","","12.50","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115470","91.91","","","","13.25","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115471","91.92","","","","13.44","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115472","91.57","","","","16.94","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115473","90.18","","","","16.38","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115474","91.00","","","","16.25","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115475","91.17","","","","13.44","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115476","91.80","","","","15.00","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115477","91.10","","","","16.31","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115478","91.20","","","","15.38","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115479","91.75","","","","16.19","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115480","91.36","","","","14.56","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115481","91.65","","","","15.25","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115482","94.13","","","","16.25","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115483","91.23","","","","16.69","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115484","90.77","","","","11.88","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115485","90.38","","","","11.25","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115486","90.43","","","","13.25","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115487","90.38","","","","17.56","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115488","90.94","","","","13.88","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115489","90.93","","","","13.81","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115490","90.76","","","","13.88","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115491","91.21","","","","14.25","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115492","91.32","","","","13.50","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115493","90.69","","","","12.69","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115494","90.35","","","","13.44","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115495","91.13","","","","12.56","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115496","91.10","","","","15.88","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115497","91.02","","","","17.38","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115498","91.03","","","","15.69","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115499","91.24","","","","15.81","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115500","90.77","","","","16.06","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115501","90.97","","","","17.00","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115502","91.50","","","","11.63","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115503","91.06","","","","11.50","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115504","91.36","","","","9.69","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115505","91.55","","","","12.69","","","","","","","","","","","","","","","","Ethiopia"
"Tagasaste","100192","88.09","","49.99","","19.63","","","","","","","","","","","","","","","","Ethiopia"
"Tagasaste","100193","88.46","","44.22","","15.94","","","","","","","","","","","","","","","","Ethiopia"
"Tagasaste","100194","87.57","","43.44","","21.19","","","","","","","","","","","","","","","","Ethiopia"
"Tagasaste","100195","88.92","","43.34","","19.81","","","","","","","","","","","","","","","","Ethiopia"
"Tagasaste","100197","89.17","","31.22","","20.56","","","","","","","","","","","","","","","","Ethiopia"
"Tagasaste","100198","88.67","","37.31","","21.63","","","","","","","","","","","","","","","","Ethiopia"
"Tagasaste","100199","88.51","","45.14","","20.06","","","","","","","","","","","","","","","","Ethiopia"
"Tagasaste","100200","88.53","","45.84","","21.00","","","","","","","","","","","","","","","","Ethiopia"
"Tagasaste","100201","87.53","","49.13","","16.31","","","","","","","","","","","","","","","","Ethiopia"
"Tagasaste","100202","90.14","","46.13","","15.25","","","","","","","","","","","","","","","","Ethiopia"
"Tagasaste","100203","89.19","","47.12","","17.63","","","","","","","","","","","","","","","","Ethiopia"
"Tagasaste","100204","88.45","","40.24","","22.19","","","","","","","","","","","","","","","","Ethiopia"
"Tagasaste","100205","88.92","","33.59","","21.44","","","","","","","","","","","","","","","","Ethiopia"
"Tagasaste","100206","88.76","","37.92","","18.38","","","","","","","","","","","","","","","","Ethiopia"
"Tagasaste","100208","89.38","","36.13","","24.19","","","","","","","","","","","","","","","","Ethiopia"
"Tagasaste","100209","88.92","","50.27","","18.50","","","","","","","","","","","","","","","","Ethiopia"
