"Feed name","Reference","DM","ADF","NDF","ADL","CP","OM","P","Ca","Na","Fe","K","Mg","Cu","Mn","Zn","IVDMD","ME","NEm","NEg","NEl","Country"
"Cowpea hay","107922","91.69","","42.20","","11.63","96.99","","","","","","","","","","","","","","","Ethiopia"
"Cowpea hay","107923","92.23","","45.43","","11.31","96.30","","","","","","","","","","","","","","","Ethiopia"
"Cowpea hay","107925","91.85","","37.76","","11.13","97.22","","","","","","","","","","","","","","","Ethiopia"
"Cowpea hay","107926","91.92","","48.84","","12.81","94.67","","","","","","","","","","","","","","","Ethiopia"
"Cowpea hay","107927","92.54","","48.79","","11.31","96.74","","","","","","","","","","","","","","","Ethiopia"
"Cowpea hay","107928","91.48","","46.14","","9.19","96.22","","","","","","","","","","","","","","","Ethiopia"
"Cowpea hay","107929","91.75","","47.11","","11.06","95.60","","","","","","","","","","","","","","","Ethiopia"
"Cowpea hay","107930","91.69","","40.22","","11.25","96.10","","","","","","","","","","","","","","","Ethiopia"
"Cowpea hay","107931","92.29","","48.96","","13.19","96.19","","","","","","","","","","","","","","","Ethiopia"
"Cowpea hay","107932","92.33","","52.21","","10.63","94.11","","","","","","","","","","","","","","","Ethiopia"
"Cowpea hay","107933","91.63","","41.86","","11.25","96.34","","","","","","","","","","","","","","","Ethiopia"
"Cowpea hay","107934","92.42","","48.32","","11.69","96.96","","","","","","","","","","","","","","","Ethiopia"
"Cowpea hay","107936","92.02","","45.05","","15.19","96.39","","","","","","","","","","","","","","","Ethiopia"
"Cowpea hay","107937","92.45","","45.63","","9.63","96.61","","","","","","","","","","","","","","","Ethiopia"
"Cowpea hay","107938","91.55","","","","12.81","91.47","1.70","","","","","","","","","","","","","","Ethiopia"
"Cowpea hay","107939","92.76","","","","11.13","81.07","2.50","","","","","","","","","","","","","","Ethiopia"
"Cowpea hay","107940","92.08","","","","13.88","91.79","3.30","","","","","","","","","","","","","","Ethiopia"
"Cowpea hay","107941","91.50","","","","12.94","93.28","1.50","","","","","","","","","","","","","","Ethiopia"
"Cowpea hay","107942","92.17","","","","14.13","92.83","2.20","","","","","","","","","","","","","","Ethiopia"
"Cowpea hay","107943","91.52","","","","13.75","92.23","1.80","","","","","","","","","","","","","","Ethiopia"
"Cowpea hay","107944","92.17","","","","11.88","88.00","2.90","","","","","","","","","","","","","","Ethiopia"
"Cowpea hay","107945","91.98","","","","13.13","95.49","2.50","","","","","","","","","68.16","10.67","6.90","4.35","6.69","Ethiopia"
"Cowpea hay","108009","89.99","","","","15.31","","","","","","","","","","","","","","","","Ethiopia"
"Cowpea hay","108109","89.21","27.79","38.27","5.86","35.13","86.88","4.50","22.10","64.45","619.10","29.90","4.90","15.13","180.14","22.64","","","","","","Kenya"
"Cowpea hay","108110","90.82","53.51","59.95","9.89","11.69","90.44","3.00","7.40","111.10","142.37","37.00","4.70","11.56","47.68","17.29","","","","","","Kenya"
"Cowpea hay","108111","88.18","30.35","41.51","5.11","32.13","93.46","6.00","4.40","60.10","112.50","22.30","3.90","12.70","46.50","25.40","","","","","","Kenya"
"Cowpea hay","108112","90.75","49.59","57.69","9.66","11.38","89.83","2.60","6.10","113.72","253.88","38.80","4.80","10.69","37.91","13.22","","","","","","Kenya"
"Cowpea hay","108113","88.89","27.01","40.59","4.48","30.19","95.02","5.40","2.20","77.40","109.35","18.40","3.40","8.44","31.95","24.41","","","","","","Kenya"
"Cowpea hay","108114","89.19","24.42","38.46","4.87","32.50","88.02","4.00","20.20","49.11","646.26","28.40","4.50","11.66","150.69","19.17","","","","","","Kenya"
"Cowpea hay","108115","90.01","23.19","37.07","4.49","32.75","89.10","3.70","18.40","38.00","479.72","27.80","4.90","9.89","179.98","20.66","","","","","","Kenya"
"Cowpea hay","108116","90.27","46.29","52.66","7.49","11.75","89.51","2.60","5.90","39.77","123.30","38.70","5.00","8.31","47.19","19.05","","","","","","Kenya"
"Cowpea hay","108117","90.41","25.67","35.81","5.61","33.06","84.50","4.00","25.60","64.15","1210.60","30.50","4.90","13.16","202.41","18.91","","","","","","Kenya"
"Cowpea hay","108118","90.67","53.71","62.03","9.64","8.94","90.26","2.60","8.10","76.65","175.36","34.60","5.70","8.16","48.97","13.90","","","","","","Kenya"
"Cowpea hay","108119","89.36","25.73","39.94","4.47","28.69","94.40","5.40","8.10","83.59","205.35","34.60","5.70","9.06","50.47","18.24","","","","","","Kenya"
"Cowpea hay","108120","90.20","30.57","39.01","6.88","24.63","84.51","4.10","3.30","60.20","107.32","20.30","3.80","8.20","37.92","27.27","","","","","","Kenya"
"Chickpea straw","103207","91.23","42.34","55.88","9.65","5.44","90.43","0.50","17.10","77.17","1631.81","21.30","2.50","8.44","72.67","17.32","","","","","","Ethiopia"
"Chickpea straw","108867","90.37","46.36","63.02","9.32","3.00","93.22","0.50","11.10","110.77","732.21","15.20","2.10","9.07","51.23","10.73","50.92","7.95","4.44","2.09","4.81","Ethiopia"
"Chickpea straw","111341","91.09","","","","2.63","92.32","0.70","","","","","","","","","","","","","","Ethiopia"
"Chickpea straw","113927","92.26","40.08","50.87","8.31","5.50","89.66","","","","","","","","","","","","","","","Ethiopia"
"Chickpea straw","113935","92.63","38.14","51.06","8.12","4.94","90.94","","","","","","","","","","","","","","","Ethiopia"
"Chickpea straw","113945","93.20","30.38","38.61","7.51","7.50","79.95","","","","","","","","","","","","","","","Ethiopia"
"Chickpea straw","113946","92.09","","47.41","","5.56","89.16","","","","","","","","","","","","","","","Ethiopia"
"Chickpea straw","119038","89.90","","","","6.94","91.57","","","","","","","","","","","","","","","Ethiopia"
"Chickpea straw","119039","91.94","","","","11.63","90.20","","","","","","","","","","","","","","","Ethiopia"
"Chickpea straw","119954","89.99","46.26","58.55","8.50","8.50","91.53","","","","","","","","","","52.70","8.03","4.52","2.18","4.85","Ethiopia"
"Chickpea straw","120070","93.54","","55.73","","6.75","90.43","","","","","","","","","","","","","","","Ethiopia"
"Chickpea straw","120280","93.60","","","","7.38","86.94","","","","","","","","","","","","","","","Ethiopia"
"Chickpea straw","120282","93.77","","","","7.63","90.19","","","","","","","","","","","","","","","Ethiopia"
"Common bean straw","111624","90.73","50.07","59.93","7.70","6.56","91.10","1.40","8.90","858.26","987.55","24.60","1.80","20.61","41.99","23.92","","","","","","Ethiopia"
"Common bean straw","111964","93.82","59.75","70.43","12.02","6.81","","","","","","","","","","","","","","","","Ethiopia"
"Common bean straw","111965","93.90","59.00","68.46","11.09","6.44","","","","","","","","","","","49.63","7.45","3.93","1.67","4.44","Ethiopia"
"Common bean straw","113094","93.68","42.16","53.03","6.89","6.63","89.29","","","","","","","","","","56.36","8.33","4.77","2.43","5.06","Ethiopia"
"Common bean straw","113099","92.79","45.22","53.11","8.46","7.63","92.51","","","","","","","","","","52.21","8.08","4.52","2.22","4.85","Ethiopia"
"Common bean straw","113102","92.97","42.63","50.30","7.94","9.50","92.44","","","","","","","","","","56.27","8.62","5.06","2.68","5.27","Ethiopia"
"Common bean straw","113114","93.07","47.12","56.09","8.80","8.13","92.08","","","","","","","","","","51.74","7.95","4.44","2.09","4.81","Ethiopia"
"Common bean straw","113127","93.02","50.91","62.46","10.29","7.19","92.34","","","","","","","","","","","","","","","Ethiopia"
"Common bean straw","113131","92.36","41.86","57.29","7.70","6.06","91.41","","","","","","","","","","54.07","8.20","4.69","2.34","4.98","Ethiopia"
"Common bean straw","113139","92.37","42.91","58.03","7.96","7.13","93.97","","","","","","","","","","52.69","8.28","4.73","2.38","5.02","Ethiopia"
"Common bean straw","113144","92.55","41.82","53.21","8.00","9.25","93.38","","","","","","","","","","56.19","8.70","5.15","2.76","5.31","Ethiopia"
"Common bean straw","113152","91.87","39.28","50.46","8.49","9.19","93.36","","","","","","","","","","59.94","9.25","5.61","3.22","5.69","Ethiopia"
"Common bean straw","113155","92.43","37.03","81.37","6.89","9.19","90.20","","","","","","","","","","60.30","8.95","5.36","2.97","5.48","Ethiopia"
"Common bean straw","113161","91.88","41.33","54.95","7.51","8.00","91.98","","","","","","","","","","57.29","8.70","5.15","2.76","5.31","Ethiopia"
"Common bean straw","113177","92.26","45.17","54.90","7.86","6.31","93.33","","","","","","","","","","53.53","8.33","4.77","2.43","5.06","Ethiopia"
"Common bean straw","113183","93.40","53.88","62.25","9.25","5.38","94.00","","","","","","","","","","","","","","","Ethiopia"
"Common bean straw","113185","93.40","50.32","60.41","8.94","6.19","92.40","","","","","","","","","","50.12","7.74","4.23","1.92","4.64","Ethiopia"
"Common bean straw","113188","91.99","54.46","64.52","10.19","4.81","93.49","","","","","","","","","","","","","","","Ethiopia"
"Common bean straw","113191","93.03","45.92","59.12","8.31","8.50","93.56","","","","","","","","","","51.72","8.12","4.56","2.22","4.90","Ethiopia"
"Common bean straw","113200","92.58","44.03","58.81","9.02","","90.92","","","","","","","","","","49.50","7.53","4.02","1.72","4.52","Ethiopia"
"Common bean straw","113205","92.96","48.47","57.96","9.33","5.75","93.21","","","","","","","","","","50.00","7.82","4.31","2.01","4.69","Ethiopia"
"Common bean straw","113913","91.48","42.23","51.71","7.43","7.81","90.05","","","","","","","","","","","","","","","Ethiopia"
"Common bean straw","113914","91.62","35.12","43.59","6.57","12.19","88.28","","","","","","","","","","","","","","","Ethiopia"
"Common bean straw","119037","91.18","","","","14.63","68.48","","","","","","","","","","","","","","","Ethiopia"
"Common bean straw","119960","91.94","49.18","73.83","6.34","2.94","92.25","","","","","","","","","","","","","","","Ethiopia"
"Common bean straw","120069","93.06","","63.02","","6.13","89.89","","","","","","","","","","","","","","","Ethiopia"
"Common bean straw","120652","92.70","","69.77","","5.63","94.23","","","","","","","","","","","","","","","Ethiopia"
"Common bean straw","120655","93.08","","65.73","","5.19","92.52","","","","","","","","","","","","","","","Ethiopia"
"Common bean straw","120671","91.82","","57.75","","7.75","91.41","","","","","","","","","","","","","","","Ethiopia"
"Common bean straw","120672","92.16","","58.54","","7.31","91.17","","","","","","","","","","","","","","","Ethiopia"
"Common bean straw","120673","92.21","","63.26","","7.00","91.36","","","","","","","","","","","","","","","Ethiopia"
"Common bean straw","120674","92.88","","58.89","","6.69","92.27","","","","","","","","","","","","","","","Ethiopia"
"Common bean straw","120773","90.79","","60.48","","6.81","92.06","","","","","","","","","","","","","","","Ethiopia"
"Common bean straw","120801","91.08","","71.25","","5.63","92.68","","","","","","","","","","","","","","","Ethiopia"
"Common bean straw","120937","90.49","","64.39","","6.00","92.78","","","","","","","","","","","","","","","Ethiopia"
"Common bean straw","120939","90.86","","61.42","","6.75","91.41","","","","","","","","","","","","","","","Ethiopia"
"Common bean straw","120971","88.87","","64.37","","6.63","91.92","","","","","","","","","","","","","","","Ethiopia"
"Common bean straw","121415","92.20","","60.56","","7.50","90.71","","","","","","","","","","","","","","","Ethiopia"
"Common bean straw","121419","90.54","","63.57","","6.50","91.59","","","","","","","","","","","","","","","Ethiopia"
"Barley straw","113194","92.13","43.67","72.73","6.68","3.00","93.10","","","","","","","","","","51.37","7.99","4.48","2.13","4.81","Ethiopia"
"Barley straw","113195","92.35","41.05","69.69","5.80","2.75","91.01","","","","","","","","","","55.97","8.45","4.90","2.55","5.15","Ethiopia"
"Barley straw","113199","93.10","45.15","68.24","6.96","3.25","92.32","","","","","","","","","","49.89","7.74","4.18","1.88","4.64","Ethiopia"
"Barley straw","113204","92.96","47.60","67.17","8.04","4.25","92.51","","","","","","","","","","53.17","8.20","4.64","2.34","4.98","Ethiopia"
"Barley straw","113795","92.50","49.82","77.92","6.41","4.69","92.52","","","","","","","","","","49.37","7.66","4.14","1.84","4.60","Ethiopia"
"Barley straw","113796","92.02","46.82","74.66","5.64","3.31","92.10","","","","","","","","","","53.04","8.16","4.60","2.26","4.94","Ethiopia"
"Barley straw","113797","92.86","50.73","79.75","6.49","3.50","93.96","","","","","","","","","","51.85","8.16","4.60","2.30","4.94","Ethiopia"
"Barley straw","113798","93.80","39.46","67.90","4.01","3.31","91.69","","","","","","","","","","59.46","9.00","5.40","3.01","5.52","Ethiopia"
"Barley straw","113799","93.01","52.56","79.00","7.39","4.69","93.00","","","","","","","","","","","","","","","Ethiopia"
"Barley straw","113899","91.24","49.96","70.26","7.42","4.13","92.52","","","","","","","","","","","","","","","Ethiopia"
"Barley straw","113910","91.52","45.75","73.16","5.36","2.75","91.16","","","","","","","","","","","","","","","Ethiopia"
