"Reference","Feed name","DM","ADF","NDF","ADL","CP","OM","P","Ca","Na","Fe","K","Mg","Cu","Mn","Zn","IVDMD","ME","NEm","NEg","NEl","Country"
"112691","Clover (T. tembense)","90.78","24.71","30.60","4.12","30.81","84.60","","","","","","","","","","","","","","","Ethiopia"
"112692","Clover (T. tembense)","90.24","25.83","32.51","3.72","30.50","85.83","","","","","","","","","","","","","","","Ethiopia"
"112693","Clover (T. tembense)","90.52","27.83","34.61","5.73","30.50","85.04","","","","","","","","","","","","","","","Ethiopia"
"112694","Clover (T. tembense)","90.10","24.84","30.90","4.02","30.94","88.47","","","","","","","","","","","","","","","Ethiopia"
"112695","Clover (T. tembense)","92.01","56.07","78.88","9.68","1.94","89.27","0.90","","","","","","","","","","","","","","Ethiopia"
"112696","Clover (T. tembense)","90.09","23.52","27.01","4.10","30.88","88.90","","","","","","","","","","","","","","","Ethiopia"
"112697","Clover (T. tembense)","90.00","29.60","33.66","6.00","22.81","87.97","","","","","","","","","","","","","","","Ethiopia"
"112698","Clover (T. tembense)","89.94","26.48","29.43","4.68","22.94","88.81","","","","","","","","","","","","","","","Ethiopia"
"112699","Clover (T. tembense)","90.43","23.42","28.26","4.76","25.06","88.69","","","","","","","","","","","","","","","Ethiopia"
"112700","Clover (T. tembense)","90.06","24.68","30.35","4.59","22.38","88.23","","","","","","","","","","","","","","","Ethiopia"
"112743","Clover (T. tembense)","89.98","40.48","41.53","5.61","13.63","86.79","","","","","","","","","","","","","","","Ethiopia"
"112744","Clover (T. tembense)","89.75","39.70","40.22","5.28","13.75","86.42","","","","","","","","","","","","","","","Ethiopia"
"112745","Clover (T. tembense)","89.24","38.65","38.76","5.24","13.25","87.61","","","","","","","","","","","","","","","Ethiopia"
"102418","Clover (T. rueppellianum)","90.61","","46.48","","","88.45","","","","","","","","","","","","","","","Ethiopia"
"102419","Clover (T. rueppellianum)","91.85","","43.79","","","86.16","","","","","","","","","","","","","","","Ethiopia"
"102420","Clover (T. rueppellianum)","89.88","","39.86","","","88.51","","","","","","","","","","","","","","","Ethiopia"
"102421","Clover (T. rueppellianum)","90.08","","48.99","","","90.75","","","","","","","","","","","","","","","Ethiopia"
"102422","Clover (T. rueppellianum)","91.43","","43.97","","","86.63","","","","","","","","","","","","","","","Ethiopia"
"102423","Clover (T. rueppellianum)","88.53","","40.62","","","84.50","","","","","","","","","","","","","","","Ethiopia"
"102424","Clover (T. rueppellianum)","91.29","","45.97","","","87.25","","","","","","","","","","","","","","","Ethiopia"
"102425","Clover (T. rueppellianum)","89.38","","41.92","","","88.17","","","","","","","","","","","","","","","Ethiopia"
"102426","Clover (T. rueppellianum)","92.10","","43.24","","","88.62","","","","","","","","","","","","","","","Ethiopia"
"102427","Clover (T. rueppellianum)","89.98","","44.85","","","88.17","","","","","","","","","","","","","","","Ethiopia"
"102428","Clover (T. rueppellianum)","91.75","","38.16","","","79.71","","","","","","","","","","","","","","","Ethiopia"
"102506","Clover (T. rueppellianum)","89.02","","49.28","","20.31","91.86","","","","","","","","","","","","","","","Ethiopia"
"102507","Clover (T. rueppellianum)","87.76","","46.05","","17.25","90.20","","","","","","","","","","","","","","","Ethiopia"
"102512","Clover (T. rueppellianum)","88.06","","45.34","","18.13","88.60","","","","","","","","","","","","","","","Ethiopia"
"102513","Clover (T. rueppellianum)","88.96","","59.58","","19.25","91.82","","","","","","","","","","","","","","","Ethiopia"
"102515","Clover (T. rueppellianum)","88.54","","59.67","","18.19","92.53","","","","","","","","","","","","","","","Ethiopia"
"102516","Clover (T. rueppellianum)","88.61","","59.72","","17.75","92.55","","","","","","","","","","","","","","","Ethiopia"
"102530","Clover (T. rueppellianum)","88.20","","61.29","","16.88","91.35","","","","","","","","","","","","","","","Ethiopia"
"102532","Clover (T. rueppellianum)","88.20","","62.10","","16.13","91.45","","","","","","","","","","","","","","","Ethiopia"
"102534","Clover (T. rueppellianum)","88.45","","61.23","","17.75","90.56","","","","","","","","","","","","","","","Ethiopia"
"102548","Clover (T. rueppellianum)","89.13","","61.29","","16.06","93.37","","","","","","","","","","","","","","","Ethiopia"
"102549","Clover (T. rueppellianum)","88.31","","60.73","","17.44","93.95","","","","","","","","","","","","","","","Ethiopia"
"107530","Clover (T. rueppellianum)","92.27","","","","16.88","88.27","3.10","7.30","","1232.36","28.90","2.90","17.12","134.06","52.89","","","","","","Ethiopia"
"107534","Clover (T. rueppellianum)","92.04","","","","16.88","86.56","2.90","7.10","","2014.99","29.00","3.20","17.71","196.98","56.39","","","","","","Ethiopia"
"112404","Clover (T. rueppellianum)","93.11","","","","9.44","","","","","","","","","","","","","","","","Ethiopia"
"112405","Clover (T. rueppellianum)","95.41","","48.88","","7.25","91.74","","","","","","","","","","76.47","11.34","7.49","4.85","7.20","Ethiopia"
"112406","Clover (T. rueppellianum)","94.50","","22.10","","26.25","87.71","","","","","","","","","","87.70","12.30","8.28","5.56","7.87","Ethiopia"
"112407","Clover (T. rueppellianum)","93.90","","32.98","","9.06","84.80","","","","","","","","","","81.85","11.09","7.28","4.69","7.03","Ethiopia"
"112408","Clover (T. rueppellianum)","94.32","","36.98","","22.13","92.25","","","","","","","","","","72.70","10.88","7.11","4.52","6.86","Ethiopia"
"112409","Clover (T. rueppellianum)","95.40","","49.30","","8.56","91.54","","","","","","","","","","68.86","10.25","6.57","4.06","6.44","Ethiopia"
"112410","Clover (T. rueppellianum)","94.73","","22.10","","23.00","89.16","","","","","","","","","","82.22","11.76","7.87","5.19","7.49","Ethiopia"
"112411","Clover (T. rueppellianum)","93.42","","","","10.13","86.02","","","","","","","","","","","","","","","Ethiopia"
