"Sample","Feed name","DM","ADF","NDF","ADL","CP","OM","P","Ca","Na","Fe","K","Mg","Cu","Mn","Zn","IVDMD","ME","NEm","NEg","NEl","Country"
"109959","Whole Silver Fish","95.12","19.09","28.11","3.76","","","","","","","","","","","","68.40","7.50","","","","Uganda"
"110046","Whole Fish","96.23","17.40","28.77","6.26","","","","","","","","","","","","72.06","8.12","","","","Uganda"
"109954","Whole Fish","95.71","16.33","22.57","5.75","","","","","","","","","","","","76.28","8.83","","","","Uganda"
"110045","Whole Fish","95.35","20.12","31.51","6.83","","","","","","","","","","","","70.66","8.09","","","","Uganda"
"110103","Whole Fish  (Nkejje)","91.35","11.94","15.00","4.41","","","","","","","","","","","","76.60","9.30","","","","Uganda"
"110330","Whole Fish  Mukene  ( L. Victoria)","90.51","9.52","8.97","-1.35","","","","","","","","","","","","70.42","7.80","","","","Uganda"
"110002","Whole Fish Albert","97.54","26.65","46.03","9.50","","","","","","","","","","","","59.70","5.98","","","","Uganda"
"110000","Whole Fish Albert","96.08","26.09","36.71","6.91","","","","","","","","","","","","61.10","6.36","","","","Uganda"
"110346","Whole Fish Mukene","93.18","16.86","26.09","5.21","","","","","","","","","","","","69.32","8.02","","","","Uganda"
"110388","Whole Fish Mukene","93.62","13.23","18.17","4.19","","","","","","","","","","","","73.57","8.38","","","","Uganda"
"110113","Whole Fish Mukene","92.52","11.93","14.85","4.18","","","","","","","","","","","","79.79","9.81","","","","Uganda"
"110117","Whole Fish Mukene","92.33","11.88","12.70","4.38","","","","","","","","","","","","81.22","10.08","","","","Uganda"
"110451","Whole Fish Mukene","93.29","17.68","27.04","5.43","","","","","","","","","","","","70.06","8.06","","","","Uganda"
"110112","Whole Fish Mukene","93.34","17.92","23.35","5.79","","","","","","","","","","","","71.16","8.47","","","","Uganda"
"110436","Whole Fish Mukene L. Victoria","93.76","11.12","16.87","4.08","","","","","","","","","","","","78.08","9.04","","","","Uganda"
"110407","Whole Fish Nkejje","90.73","8.61","8.84","4.57","","","","","","","","","","","","77.74","9.03","","","","Uganda"
"110418","Whole Fish Nkejje","90.91","8.77","11.09","4.79","","","","","","","","","","","","78.01","9.16","","","","Uganda"
"110452","Whole Fish Nkejje","91.29","8.83","11.76","4.57","","","","","","","","","","","","76.90","8.81","","","","Uganda"
"110221","Whole Fish Nkejje","91.69","6.11","7.90","4.77","","","","","","","","","","","","78.75","9.01","","","","Uganda"
"110163","Whole Fish Nkejje","89.47","8.27","8.85","4.33","","","","","","","","","","","","86.16","11.03","","","","Uganda"
"110247","Whole Fish Nkejje  ( L Victoria)","93.23","12.91","15.61","4.37","","","","","","","","","","","","78.54","9.42","","","","Uganda"
"110437","Whole Fish Nkejje  L. Albert","92.21","7.67","10.63","4.68","","","","","","","","","","","","75.83","8.63","","","","Uganda"
